"staging_key","name","poi_category","include_v1","coordinate_valid","feature_type","feature_type_code","latitude","longitude","datum","mapsheet","source"
"gazetteer:37b1044087ae8a892997d868","Crane Lake","freshwater","True","True","Lake","951","50.1424999960083","-125.464444444444","WGS84","92K/3","BC Gazetteer"
"gazetteer:6a6202c0a130d14a1d7cecb9","Crane Point","coast_island","True","True","Point","1604","48.8419444400975","-123.334166666667","WGS84","92B/14","BC Gazetteer"
"gazetteer:1d41ef598cc631b5324a4173","Craven Hill","terrain","True","True","Hill","2705","50.4474999960863","-125.895277777778","WGS84","92K/5","BC Gazetteer"
"gazetteer:8d13c6bc47b6bff69216478e","Crawfish Lake","freshwater","True","True","Lake","951","49.6963888847796","-126.7925","WGS84","92E/10","BC Gazetteer"
"gazetteer:29167cca4a8ddbd5f45f86e9","Crawford Anchorage","coast_island","True","True","Anchorage","1406","50.4330555516381","-125.466944444444","WGS84","92K/6","BC Gazetteer"
"gazetteer:0785b89789dffee0a63542bf","Crawford Lake","freshwater","True","True","Lake","951","48.9583333290197","-125.251944444444","WGS84","92C/14","BC Gazetteer"
"gazetteer:72d5eaa87fb96a895e0863f0","Crawshay, Mount","terrain","True","True","Mount","2743","50.185555551575","-124.539444444444","WGS84","92K/2","BC Gazetteer"
"gazetteer:4e5b444e0b2adaf8e1ddb1a1","Cream Creek","freshwater","True","True","Creek (1)","602","49.4980555513926","-125.523611111111","WGS84","92F/5","BC Gazetteer"
"gazetteer:a262939da60e7d2da7a0f897","Cream Lake","freshwater","True","True","Lake","951","49.4880555513899","-125.531666666667","WGS84","92F/5","BC Gazetteer"
"gazetteer:c80d7b92d1cc28138793040f","Crease Island","coast_island","True","True","Island","2300","50.6186111072402","-126.656944444444","WGS84","92L/10","BC Gazetteer"
"gazetteer:f888ef9171e89769a9b0ff40","Creasy Bay","coast_island","True","True","Bay","1400","50.9569444406562","-127.074444444444","WGS84","92L/14","BC Gazetteer"
"gazetteer:702278c3bf444efa50a4a1d6","Creasy Lake","freshwater","True","True","Lake","951","50.9630555517688","-127.069444444444","WGS84","92L/14","BC Gazetteer"
"gazetteer:b9b94f1f29ce4a5a726a8e1e","Cree Island","coast_island","True","True","Island","2300","48.8513888845446","-125.330555555556","WGS84","92C/14","BC Gazetteer"
"gazetteer:287b83bf5ce5baa7baedcca0","Crescent Bay","coast_island","True","True","Bay","1400","49.7699999959104","-124.628333333333","WGS84","92F/15","BC Gazetteer"
"gazetteer:5a6770bf7441c89c4f8c822e","Crescent Channel","coast_island","True","True","Channel (3)","1201","50.1661111071255","-125.173333333333","WGS84","92K/3","BC Gazetteer"
"gazetteer:98b53cb2725a002cd1e58a2a","Crescent Lake","freshwater","True","True","Lake","951","50.1211111071139","-125.525833333333","WGS84","92K/4","BC Gazetteer"
"gazetteer:b2cc6cfd97bcfa0f6d59edf0","Crescent Point","coast_island","True","True","Point","1604","48.981111106804","-123.690833333333","WGS84","92B/13","BC Gazetteer"
"gazetteer:42ba8bee0468bee5fe298e93","Crespi, Mount","terrain","True","True","Mount","2743","49.6011111069762","-126.465555555556","WGS84","92E/9","BC Gazetteer"
"gazetteer:d0ae439ec9955b0f2fa25edd","Crest Creek","freshwater","True","True","Creek (1)","602","49.8422222181519","-125.86","WGS84","92F/13","BC Gazetteer"
"gazetteer:53a12f3bdf66f8845f85b7b1","Crest Lake","freshwater","True","True","Lake","951","49.8413888848183","-125.909444444444","WGS84","92F/13","BC Gazetteer"
"gazetteer:a5838edcb5f7aa27f2c370d5","Crest Mountain","terrain","True","True","Mountain","2701","49.8716666626041","-125.876388888889","WGS84","92F/13","BC Gazetteer"
